"","C.V","Optimal Fixed Investment","Lifetime Reproduction"
"1",0.002,0.752778869674019,-19771.0797943134
"2",0.00632455532033676,0.75155921291504,-19773.1714137759
"3",0.02,0.750857563715744,-19772.8925019394
"4",0.0223606797749979,0.751958744700556,-19772.8163420307
"5",0.0226274169979695,0.751555822969861,-19772.8091904434
"6",0.025298221281347,0.751898102988885,-19772.7152249955
"7",0.0282842712474619,0.751555843997727,-19772.6003699487
"8",0.0316227766016838,0.753692409680601,-19772.4487056319
"9",0.0357770876399966,0.753849766685549,-19772.2403986199
"10",0.04,0.753154357940048,-19771.9958734433
"11",0.0447213595499958,0.7534011335595,-19771.6968359032
"12",0.05,0.753145641642453,-19771.3205599437
"13",0.0565685424949238,0.753687209272117,-19770.7965637463
"14",0.0632455532033676,0.754267587211014,-19770.1966168674
"15",0.0707106781186548,0.754417471102697,-19769.4476946606
"16",0.0894427190999916,0.756164148943393,-19767.2017397922
"17",0.1,0.757096950227543,-19765.7066191733
"18",0.111803398874989,0.759129864405706,-19763.8405117578
"19",0.126491106406735,0.760986788774982,-19761.2326305154
"20",0.14142135623731,0.762225053464768,-19758.259888191
"21",0.2,0.773743149869628,-19743.5646502941
"22",0.223606797749979,0.778700954813466,-19736.3086274795
"23",0.282842712474619,0.797030156799421,-19714.7808188888
"24",0.316227766016838,0.809461465108806,-19700.6254102731
"25",0.447213595499958,0.866529748657865,-19637.2818793874
"26",0.5,0.897112962752146,-19613.2298725777
"27",0.632455532033676,0.998130499981633,-19574.2554089954
"28",0.707106781186548,1.07359562958763,-19571.0235001202
"29",1,1.52712080125774,-19762.108816232
